"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051607","defense response to virus","4/7","95/3915",0.0421052631578947,23.5488721804511,9.41536366462227,1.07761263175643e-05,0.00581910821148471,0.00391343534690492,"MX2/IFI44L/MX1/TLR2",4
"GO:0009615","response to virus","4/7","139/3915",0.0287769784172662,16.0945529290853,7.66820677225918,4.90356240644928e-05,0.0132396184974131,0.00890383700118422,"MX2/IFI44L/MX1/TLR2",4
"GO:0140546","defense response to symbiont","5/7","332/3915",0.0150602409638554,8.42297762478485,5.98282007680884,7.75416523295837e-05,0.0139574974193251,0.00938662107147592,"MX2/IFI44L/PRKCE/MX1/TLR2",5
"GO:0098542","defense response to other organism","5/7","357/3915",0.0140056022408964,7.83313325330132,5.73103656489705,0.000110441476426856,0.0149095993176256,0.0100269235177014,"MX2/IFI44L/PRKCE/MX1/TLR2",5
"GO:0043207","response to external biotic stimulus","5/7","446/3915",0.0112107623318386,6.27001921844971,5.00333556874061,0.00032431279539031,0.0291881515851279,0.0196294586683609,"MX2/IFI44L/PRKCE/MX1/TLR2",5
"GO:0051707","response to other organism","5/7","446/3915",0.0112107623318386,6.27001921844971,5.00333556874061,0.00032431279539031,0.0291881515851279,0.0196294586683609,"MX2/IFI44L/PRKCE/MX1/TLR2",5
"GO:0009607","response to biotic stimulus","5/7","462/3915",0.0108225108225108,6.05287569573284,4.89376900700936,0.000384215013932917,0.0296394439319678,0.0199329593694521,"MX2/IFI44L/PRKCE/MX1/TLR2",5
"GO:0006952","defense response","5/7","492/3915",0.0101626016260163,5.68379790940767,4.70174859415584,0.000519533048564039,0.0350684807780726,0.0235840660203412,"MX2/IFI44L/PRKCE/MX1/TLR2",5
"GO:0031663","lipopolysaccharide-mediated signaling pathway","2/7","22/3915",0.0909090909090909,50.8441558441558,9.9212304362,0.00062244414719656,0.0373466488317936,0.0251161673430191,"PRKCE/TLR2",2
"GO:0043279","response to alkaloid","2/7","26/3915",0.0769230769230769,43.021978021978,9.09758971095771,0.000872747487545167,0.0423793223662406,0.0285007138720331,"PRKCE/SLC1A3",2
"GO:0002752","cell surface pattern recognition receptor signaling pathway","2/7","27/3915",0.0740740740740741,41.4285714285714,8.92050215779458,0.00094176271924979,0.0423793223662406,0.0285007138720331,"PRKCE/TLR2",2
"GO:0140895","cell surface toll-like receptor signaling pathway","2/7","27/3915",0.0740740740740741,41.4285714285714,8.92050215779458,0.00094176271924979,0.0423793223662406,0.0285007138720331,"PRKCE/TLR2",2
"GO:0045087","innate immune response","4/7","303/3915",0.0132013201320132,7.38330975954738,4.89525721628772,0.00102077818759835,0.0424015554848545,0.0285156659693466,"MX2/PRKCE/MX1/TLR2",4
"GO:0002224","toll-like receptor signaling pathway","2/7","35/3915",0.0571428571428571,31.9591836734694,7.78555923463674,0.00158556217493594,0.0603862711933837,0.0406106502177727,"PRKCE/TLR2",2
"GO:0002220","innate immune response activating cell surface receptor signaling pathway","2/7","36/3915",0.0555555555555556,31.0714285714286,7.67056887523854,0.00167739642203844,0.0603862711933837,0.0406106502177727,"PRKCE/TLR2",2
"GO:0050714","positive regulation of protein secretion","2/7","39/3915",0.0512820512820513,28.6813186813187,7.35206516302188,0.00196788511268838,0.0634437321873111,0.0426668374359109,"PRKCE/TLR2",2
"GO:0042116","macrophage activation","2/7","40/3915",0.05,27.9642857142857,7.2537939624913,0.00206968791011245,0.0634437321873111,0.0426668374359109,"PRKCE/TLR2",2
"GO:0007610","behavior","3/7","161/3915",0.0186335403726708,10.4214729370009,5.16614702786526,0.00211479107291037,0.0634437321873111,0.0426668374359109,"PRKCE/SLC1A3/TLR2",3
"GO:0009636","response to toxic substance","2/7","46/3915",0.0434782608695652,24.3167701863354,6.7317828201089,0.00273226190661105,0.0737710714784984,0.049612124093727,"PRKCE/TLR2",2
"GO:0050806","positive regulation of synaptic transmission","2/7","46/3915",0.0434782608695652,24.3167701863354,6.7317828201089,0.00273226190661105,0.0737710714784984,0.049612124093727,"PRKCE/SLC1A3",2
"GO:0071222","cellular response to lipopolysaccharide","2/7","60/3915",0.0333333333333333,18.6428571428571,5.82793238811153,0.00461691204636534,0.10890043417771,0.0732371340961205,"PRKCE/TLR2",2
"GO:1901654","response to ketone","2/7","61/3915",0.0327868852459016,18.3372365339578,5.77525400354413,0.00476933145110134,0.10890043417771,0.0732371340961205,"PRKCE/TLR2",2
"GO:0019752","carboxylic acid metabolic process","3/7","215/3915",0.013953488372093,7.80398671096346,4.34274148857719,0.0048489526132446,0.10890043417771,0.0732371340961205,"PRKCE/SLC1A3/TLR2",3
